,marketCap
CLAR,891358720
CLAS,315675488
CLB,1229429632
CLBK,2071211776
CLBS,61878956
CLDT,624788608
CLDX,1697089408
CLEU,26763262
CLF,10650796032
CLFD,912544512
CLGN,219611488
CLH,5838444544
CLI,1709364480
CLIM,236911504
CLIR,52377372
CLLS,427809632
CLM,1112882432
CLMT,1087306496
CLNE,1821014016
CLNN,328704512
CLOV,2769036800
CLPR,142159328
CLPS,63031484
CLPT,323983200
CLR,17354084352
CLRB,43762828
CLRM,352187520
CLRO,24971814
CLS,1485519744
CLSD,271771456
CLSK,652454144
CLSN,70509896
CLVR,146902624
CLVS,406757856
CLVT,14581638144
CLW,679230080
CLWT,17989598
CLX,21068492800
CLXT,131317760
CM,53332037632
CMA,12531662848
CMBM,770117120
CMC,4019734272
CMCL,167239440
CMCM,240722512
CMCO,1456853632
CMCSA,245874458624
CMCT,115069672
CMCTP,929169984
CME,81717911552
CMG,51326808064
CMI,34780233728
CMLS,265588336
CMLT,686660416
CMMB,106948192
CMP,1944043776
CMPI,85852656
CMPR,2288622592
CMPS,1415148032
CMPX,188833680
CMRE,1513171456
CMRX,507785120
CMS,17607852032
CMSA,7435366400
CMT,84717528
CMTL,702820224
CMU,129474952
CNA,12348628992
CNC,43725520896
CNCE,127247376
CND,418264960
CNDT,1213803136
CNET,42887712
CNEY,57505000
CNF,320278880
CNFR,25172498
CNHI,25762201600
CNI,91406712832
CNK,2401578752
CNMD,4415599104
CNNB,43552480
CNNE,3097938944
CNO,3279965440
CNOB,1388496384
CNP,14787886080
CNQ,49550004224
CNR,2082981504
CNS,4796090368
CNSL,703853952
CNSP,28909374
CNTB,757330304
CNTG,216154832
CNTX,40181348
CNTY,440682400
CNVY,542275776
CNX,3322772992
CNXC,9791151104
CNXN,1287624576
CO,520238304
COCP,87029888
CODA,93156928
CODI,2049542016
CODX,275764032
COE,49674932
COF,69578964992
COFS,201094928
COGT,408109440
COHN,23899990
COHR,6337609728
COHU,1823888896
COIN,88721244160
COKE,4950433280
COLB,2557590016
COLD,7912047104
COLI,420035328
COLL,709534144
COLM,7122529280
COMM,2036708352
COMP,4242643712
COMS,86601440
CONE,10968809472
CONN,690118528
CONX,922696832
COO,20675745792
COOL,489249984
COOP,3668502272
COP,98278260736
COR,7385863168
CORR,62182580
CORT,2730261504
COST,231611236352
COTY,8346736128
COUP,16782381056
COUR,4909443072
COVA,366412128
COWN,1068113536
CP,10283831296
CPA,3175260672
CPAC,633440704
CPB,12647596032
CPE,2931575552
CPF,799770048
CPG,2716417536
CPHC,77430272
CPHI,26940908
CPIX,39988968
CPK,2349533184
CPLG,910625664
CPLP,266180224
CPNG,51006566400
CPRI,9881783296
CPRT,37410078720
CPRX,751456256
CPS,424589056
CPSH,71153776
CPSI,456298208
CPSR,343275008
CPSS,197748672
CPT,16315924480
CPTAG,128856120
CPTAL,131366400
CPTK,340159648
CPUH,1055479488
CQP,20520071168
CR,6303309824
CRAI,728424896
CRBP,136911136
CRC,3651068928
CRCT,5578423296
CRDF,199026144
CREG,37569200
CRESY,517607328
CREX,26652328
CRF,566397568
CRH,39828955136
CRHC,1024577536
CRI,4850204160
CRIS,518089760
CRK,2135847808
CRKN,56109268
CRL,19707138048
CRM,281991184384
CRMD,193316608
CRMT,835291584
CRNC,3992941312
CRNT,257242112
CRNX,1018969088
CRON,2151856640
CROX,11853016064
CRS,1567297280
CRSP,6499456000
CRSR,2415309824
CRT,80520000
CRTD,34067760
CRTO,2541614080
CRTX,430512672
CRU,315837216
CRUS,4581322752
CRVL,3466618112
CRVS,142128624
CRWD,58309730304
CRWS,79586544
CRY,776877312
CRZN,248889792
CS,23278659584
CSAN,6916819456
CSBR,131692616
CSCO,242000429056
CSCW,51891796
CSGP,3310748672
CSGS,1710572416
CSII,1035376384
CSIQ,2350906368
CSL,12540669952
CSLT,301625312
CSPI,39765428
CSPR,275577984
CSQ,2983095552
CSR,1377412608
CSSE,228140464
CSSEP,97000072
CSTA,387928736
CSTE,413295616
CSTL,1336613248
CSTM,2708922624
CSTR,486964992
CSV,916030016
CSWC,582353728
CSWI,2206054656
CSX,26698350592
CTAQ,509660224
